nome,código,id,população_total_2000,população_total_2010,homens_2000,homens_2010,mulheres_2000,mulheres_2010,idade_0_a_14_2000,idade_0_a_14_2010,idade_15_a_64_2000,idade_65+_2000,idade_65+_2010,população_não_alfabetizada_2000,população_não_alfabetizada_2010,renda_média_2000,renda_média_2010,domicílios_particulares_2000,domicílios_particulares_2010,domicílios_subnormais_2000,domicílios_subnormais_2010,infraestrutura_2000,infraestrutura_2010,densidade_demográfica_2000,densidade_demográfica_2010,idade_15_a_64_2010,IDHM_2000,IDHM_2010,latitude,longitude
Boa Viagem,"146","1","2463","2322","45.43","45.31","54.57","54.69","17.99","14.61","66.63","15.39","15.93","4.75","4.34","1934","2331","581","2767","0","0","98.45","99.53","102.7","96.8","69.46","0.662","0.783","-12.9326841","-38.5110997"
Bonfim,"92","2","10437","9446","45.16","45.14","54.84","54.86","18.25","15.76","70.25","11.49","13.61","3.81","2.31","3683","2948","2657","2767","0","0","99.81","98.59","115.8","104.8","70.62","0.742","0.854","-12.9272113","-38.5076221"
Calçada,"143","3","4650","5024","48.99","48.49","51.01","51.51","25.01","22","68.76","6.24","6.41","9.21","6.28","1064","989","1182","1494","197","240","90.27","87.08","63.3","68.4","71.06","0.613","0.679","-12.9434557","-38.4985551"
Caminho de Areia,"149","4","12952","12318","45.85","45.12","54.15","54.88","20.97","18.08","70.05","8.97","9.95","4.4","2.5","1599","1551","3374","3853","0","0","99.35","99.95","348.7","331.6","71.97","0.662","0.783","-12.9306824","-38.5033003"
Lobato,"88","5","29966","29169","48.81","46.96","51.19","53.04","29.92","23.72","67.04","2.68","4.06","10.89","6.41","767","802","7575","9131","1739","5227","87.17","90.01","198.7","193.4","71.69","0.542","0.661","-12.9196218","-38.4820856"
Mangueira,"93","6","12202","12310","47.52","46.63","52.48","53.37","27.59","21.88","68.54","3.88","5.64","6.21","3.77","951","884","3213","3823","0","2074","81.14","95.66","423.5","477.2","72.48","0.582","0.691","-12.9239009","-38.4990265"
Mares,"144","7","2277","2359","46.46","45.49","53.54","54.51","18.84","17.76","71.41","9.75","9.88","3.95","2.94","2282","2037","621","659","0","0","95.17","99.39","85.9","89","72.36","0.706","0.799","-12.9407425","-38.5018162"
Massaranduba,"90","8","29297","20160","47.15","46.74","52.85","53.26","26.58","20.99","67.97","5.44","6.76","6.2","3.11","1135","1076","5063","6097","743","1727","69.9","96.1","363","379.2","72.26","0.668","0.773","-12.9269937","-38.4973293"
Monte Serrat,"150","9","7064","6590","46.23","45.24","53.77","54.76","22.47","17.01","68.08","8.73","10.7","4.44","2.65","2417","2417","1775","1971","0","299","88.17","97.31","168.85","157.52","72.29","0.645","0.743","-12.9275713","-38.5137079"
Ribeira,"89","10","18692","19578","46.52","46.01","53.48","53.99","22.66","17.72","60.14","7.21","9.14","4.28","2.51","1734","11634","47.83","5982","159","2281","96.55","99.18","219.4","229.8","73.13","0.743","0.828","-12.916597","-38.4971026"
Roma,"145","11","3459","3636","44.26","44.53","55.74","55.47","19.66","15.38","69.03","11.04","12.32","2.63","1.01","2369","2728","887","1091","0","0","97.86","99.73","128.2","134.7","72.31","0.706","0.799","-12.9357638","-38.5044307"
Santa Luzia,"91","12","6324","7702","48.07","46.47","51.93","53.53","29.64","22.23","65.29","4.71","5.84","10.03","4.22","756","719","1594","2353","96","1080","68.32","93.63","159.8","194.6","71.21","0.542","0.661","-12.9322589","-38.4886235"
Uruguai,"147","13","31004","30370","47.28","46.33","52.72","53.67","26.68","21.6","68.42","4.88","6.65","7.08","3.91","972","1108","7938","9434","1464","2607","83.53","95.55","340.6","333.6","71.73","0.611","0.705","-12.9341999","-38.4949761"
Vila Ruy Barbosa/Jadim Cruzeiro,"148","14","17386","19448","46.51","45.46","53.49","54.54","23.85","18.64","69.33","6.82","8.05","5.23","2.78","1712","1236","4429","6048","0","0","96.84","98.97","413.54","462.59","73.31","0.684","0.779","-12.9316735","-38.4994176"
